Eil. Nr.,Adresas,Plotas,Patalpų charakteristika,Nuomininkas,Galioja_nuo,Galioja_iki,"Nuomos Mokestis, Eur/ mėn.","Parama, Eur/ metus",Seniūnija,Paskirtis,Tipas
359,Ankštoji g. 3,250.85,1 aukštas,Darbo partija,2013-09-26,2018-09-25,,43590.71,Naujamiesčio,Administracinei paskirčiai,Panauda
360,Birželio 23-iosios g. 5,105.81,rūsys,BĮ Lietuvos teismo ekspertizės centras,2015-05-01,2020-05-01,,3644.11,Naujamiesčio,Administracinei paskirčiai,Panauda
361,Dariaus ir Girėno g. 11,297.34,1 aukštas,Vilniaus apskrities vyriausiasis policijos komisariatas,2012-11-26,2017-11-26,,1585.67,Naujininkų,Administracinei paskirčiai,Panauda
362,Dariaus ir Girėno g. 11,60.16,rūsys,asociacija Lietuvos sakaliukų sąjunga,2013-02-01,2016-02-01,,112.37,Naujininkų,Administracinei paskirčiai,Panauda
363,Gėlių g. 7,30.62,1 aukštas,Lietuvos nacizmo aukų asociacija,2007-12-21,2015-12-22,,2896.2,Senamiesčio,Administracinei paskirčiai,Panauda
364,Gėlių g. 7,67,rūsys,Viešoji įstaiga Vyrų krizių ir informacijos centras,2007-05-07,2017-05-08,,2217.91,Senamiesčio,Administracinei paskirčiai,Panauda
365,Gerovės g. 29,22.11,2 aukštas,Vilniaus m. vyriausiasis policijos komisariatas,2007-07-29,2015-07-30,,826.58,Naujosios Vilnios,Administracinei paskirčiai,Panauda
366,"Grigiškių m., Vilniaus g. 6",71.51,1 aukštas,Vilniaus teritorinė darbo birža,2010-11-24,2015-11-24,,4042,Senamiesčio,Administracinei paskirčiai,Panauda
367,Juozapavičiaus g. 10A-3,94.81,1 aukštas," VšĮ ""Sveikas miestas""",2011-12-23,2016-12-23,,,Šnipiškių,Administracinei paskirčiai,Panauda
368,Juozapavičiaus g. 10A-3,38.06,1 aukštas,Lietuvos žaliųjų partija,2015-04-07,2020-04-07,,2680,Šnipiškių,Administracinei paskirčiai,Panauda
369,Kalinausko g. 21,433.98,1 aukštas,Lietuvos valstybės istorijos archyvas,2014-12-01,2019-12-01,,54889.79,Naujamiesčio,Administracinei paskirčiai,Panauda
370,Kalinausko g. 9,86.09,2 aukštas,Visuomeninė organizacija Vilniaus keliautojų klubas,2008-03-10,2016-03-11,,5972.4,Naujamiesčio,Administracinei paskirčiai,Panauda
371,Kaštonų g. 3-8,32.12,pusrūsis,Politinė partija Lietuvos centro partija,2009-11-23,2014-11-23,,1982.45,Naujamiesčio,Administracinei paskirčiai,Panauda
372,Kaštonų g. 4,155.65,1 aukštas,asociacija Lietuvos aeroklubas,2012-08-01,2017-08-01,,21594,Naujamiesčio,Administracinei paskirčiai,Panauda
373,Kaštonų g. 4,58.98,2 aukštas,"asociacija Lietuvos pensininkų sąjunga ""Bočiai""",2012-10-30,2017-10-30,,6547,Naujamiesčio,Administracinei paskirčiai,Panauda
374,Kaštonų g. 4,122.7,3 aukštas,politinė partija Tėvynės sąjunga-Lietuvos krikščionys demokratai,2013-07-22,2018-07-22,,11919,Naujamiesčio,Administracinei paskirčiai,Panauda
375,Kaštonų g. 4,55.5,1 aukštas,"VšĮ ""Savivaldybių žinios""",2005-09-28,2015-09-28,,7700,Naujamiesčio,Administracinei paskirčiai,Panauda
376,Pamėnkalnio g. 23,23.35,pusrūsis,Lietuvos politinių kalinių ir tremtinių sąjunga,2014-05-11,2019-05-10,,1370.77,Naujamiesčio,Administracinei paskirčiai,Panauda
377,Pamėnkalnio g. 26,18,1 aukštas,Visuomeninė organizacija Lietuvos šaškių federacija,2012-08-10,2017-08-10,,2926.32,Naujamiesčio,Administracinei paskirčiai,Panauda
378,Pylimo g. 38,64.6,3 aukštas,Lietuvos politinių kalinių sąjunga,2000-01-02,neterminuota,,8581.46,Senamiesčio,Administracinei paskirčiai,Panauda
379,Pylimo g. 45,197.91,2 aukštas,Lietuvos lenkų sąjungos Vilniaus skyrius,2000-03-16,neterminuota,,7564.6,Senamiesčio,Administracinei paskirčiai,Panauda
380,Smetonos g. 8,105.07,1 aukštas,"Visuomeninė organizacija ""Lietuvos skautija""",2000-02-12,neterminuota,,8236.5,Naujamiesčio,Administracinei paskirčiai,Panauda
381,Stiklių g. 4,280.75,"1, 2 aukštai",VIEŠOJI ĮSTAIGA VILNIAUS SENAMIESČIO ATNAUJINIMO AGENTŪRA,2011-12-22,2021-12-31,,,Senamiesčio,Administracinei paskirčiai,Panauda
382,Subačiaus g. 49,61.73,1 aukštas,Vilniaus m. vyriausiasis policijos komisariatas,2000-01-06,neterminuota,,3886.7,Senamiesčio,Administracinei paskirčiai,Panauda
383,Šiltadaržio g. 2,111.55,2 aukštas,"viešoji įstaiga ""Vilniaus miesto parkai""",2014-05-01,2019-04-30,,,Senamiesčio,Administracinei paskirčiai,Panauda
384,Vasario 16-osios g. 8,14.46,1 aukštas,asociacija Lietuvos kino mėgėjų sąjunga,2012-12-28,2017-12-28,,4316.79,Naujamiesčio,Administracinei paskirčiai,Panauda
385,Vašingtono a. 1-67,210.93,"rūsys, 1 aukštas, antresolė",Politinė partija Lietuvos Respublikos liberalų sąjūdis,2007-07-09,2022-07-09,,26940.45,Naujamiesčio,Administracinei paskirčiai,Panauda
386,Vilniaus g. 20,242.59,"1,2 aukštas",Liberalų ir centro sąjunga,2006-02-15,2016-02-16,,49284.58,Senamiesčio,Administracinei paskirčiai,Panauda
387,Vilniaus g. 22,991.9,"rūsys, 1, 2 aukštas","Asociacija Lietuvos ""Žinijos"" draugija",2007-12-02,2017-12-02,,72964.16,Senamiesčio,Administracinei paskirčiai,Panauda
388,Vilniaus g. 22,45.22,2 aukštas,Lietuvos socialdemokratų sąjunga,2010-02-14,2013-02-14,,3556.53,Senamiesčio,Administracinei paskirčiai,Panauda
389,Vilniaus g. 37,309.74,"1 aukštas, garažai",Vilniaus apskrities vyriausiasis policijos komisariatas,2010-10-11,2015-10-11,,42111.91,Senamiesčio,Administracinei paskirčiai,Panauda
390,Vilniaus g. 39,1159.14,"rūsys, pirmas, antras, trečias ir ketvirtas aukštai","BĮ ""Biudžetinė įstaigų buhalterinė apskaita""",2009-08-10,2014-08-10,,,Senamiesčio,Administracinei paskirčiai,Panauda
391,Vitebsko g. 23,97.1,pirmas aukštas,biudžetinė įstaiga Policijos departamentas prie LR vidaus reikalų ministerijos,2012-11-15,2022-11-15,,5826,Senamiesčio,Administracinei paskirčiai,Panauda
392,Vivulskio g. 12,60.15,pusrūsis,LIETUVOS JAUNŲJŲ KRIKŠČIONIŲ SĄJUNGA,2007-04-11,2017-04-11,,2959.38,Naujamiesčio,Administracinei paskirčiai,Panauda
393,Vrublevskio g. 4,121.13,1 aukštas,Asociacija Lietuvos žmogaus teisių lyga,2011-08-11,2021-08-11,,14735,Senamiesčio,Administracinei paskirčiai,Panauda
394,Vrublevskio g. 6,143.41,1 aukštas,Partija Tvarka ir teisingumas,2009-07-15,2019-07-14,,21132,Senamiesčio,Administracinei paskirčiai,Panauda
395,Vrublevskio g. 6,105.4,1 aukštas,Lietuvos parolimpinis komitetas,1998-07-01,2018-07-01,,15531,Senamiesčio,Administracinei paskirčiai,Panauda
396,Žalioji a. 3,22.55,2 aukštas,"Viešoji įstaiga ""Vilniaus miesto parkai""",2012-08-01,2017-07-31,,,Panerių,Administracinei paskirčiai,Panauda
397,Kalinausko g. 21A,41.45,1 aukšto koplyčia,"viešoji įstaiga ""Vilniaus miesto parkai""",2015-03-04,2020-03-04,,,Naujamiesčio,Sandėliavimui ir kt. pramoninei paskirčiai,Panauda
398,Algirdo g. 23,2067.11,4 aukštų pastatas,Vilniaus Algirdo muzikos mokykla,,,,,Naujamiesčio,Ugdymo veiklai,Panauda
399,Ankštoji g. 11,1609.69,"2 aukštų pastatas, kiemo statiniai (tvora, kiemo aikštelė, baseinas, 4 pavėsinės)","darželis-mokykla ""Dainorėliai""",2014-04-07,2024-04-07,,,Naujamiesčio,Ugdymo veiklai,Panauda
400,Antakalnio g. 108,861.81,"patalpos su rūsiu, kiemo statiniai","lopšelis-darželis ""Kaštonas""",2014-06-01,2024-06-01,,,Antakalnio,Ugdymo veiklai,Panauda
401,Antakalnio g. 84A,222.64,1-o aukšto pastatas,Vilniaus Antakalnio atviras jaunimo centras,2012-06-04,2017-06-04,,,Antakalnio,Ugdymo veiklai,Panauda
402,Architektų g. 108,2660.32,"du 2 aukštų pastatai, 11 stoginių, kiemo statiniai","lopšelis-darželis ""Žemuogėlė""",,,,,Lazdynų,Ugdymo veiklai,Panauda
403,Architektų g. 16,1739.18,"trys 2 aukštų pastatai, kiemo statiniai (baseinas, tvora, kiemo aikštelė, smėlio dėžės)","lopšelis-darželis ""Spygliukas""",,,,,Lazdynų,Ugdymo veiklai,Panauda
404,Architektų g. 162,2667.77,"du 2 aukštų pastatai, 12 stoginių, kiemo statiniai","lopšelis-darželis ""Rytas""",,,,,Lazdynų,Ugdymo veiklai,Panauda
405,Architektų g. 210,2494.35,"2 aukštų pastatas, 7 stoginės, kiemo statiniai (kiemo aikštelė, tvora, baseinas)","""Svajos"" darželis-mokykla",2014-04-07,2024-04-07,,,Lazdynų,Ugdymo veiklai,Panauda
406,Architektų g. 224,71.77,cokolinis aukštas,"Vilniaus vaikų ir jaunimo klubas ""Lakštingala""",2015-05-28,2020-05-28,,,Lazdynų,Ugdymo veiklai,Panauda
407,Architektų g. 44,1949.76,"2 aukštų pastatas, 12 namukų, 12 stoginių, kiemo statiniai (tvora, kiemo aikštelė, smėlio duobės)","lopšelis-darželis ""Pakalnutė""",,,,,Lazdynų,Ugdymo veiklai,Panauda
408,Architektų g. 62,2850.92,"2 aukštų pastatas, 6 stoginės, kiemo statiniai (tvora, kiemo aikštelė, baseinas, smėlio dėžė)","lopšelis-darželis ""Žibutė""",,,,,Lazdynų,Ugdymo veiklai,Panauda
409,Architektų g. 70,64.31,cokolinis aukštas,"Savivaldybės biudžetinė įstaiga Vilniaus vaikų ir jaunimo klubas ""Klevas""",2011-06-13,2016-06-12,,,Lazdynų,Ugdymo veiklai,Panauda
410,Architektų g. 86,71.61,cokolinis aukštas,"Vilniaus vaikų ir jaunimo klubas ""Klevas""",2015-05-28,2020-05-28,,,Lazdynų,Ugdymo veiklai,Panauda
411,Asanavičiūtės g. 2,2421.05,du 2 aukštų pastatai,Karoliniškių muzikos mokykla,,,,,Karoliniškių,Ugdymo veiklai,Panauda
412,Asanavičiūtės g. 20,168.16,1 aukštas,"Vaikų ir jaunimo klubas ""Žvaigždutė""",2014-03-10,2019-03-09,,,Karoliniškių,Ugdymo veiklai,Panauda
413,Asanavičiūtės g. 48,71.57,cokolinis aukštas,Vilniaus miesto sporto centras,2015-01-01,2025-01-01,,,Karoliniškių,Ugdymo veiklai,Panauda
414,Asanavičiūtės g. 7,3607.91,"2 aukštų pastatas, 3 pavėsinės, kiemo statiniai","Vilniaus lopšelis-darželis ""Prie pasakų parko""",,,,,Karoliniškių,Ugdymo veiklai,Panauda
415,Ašmenos g. 8,219.86,mansarda,"Viešoji įstaiga ""Vilniaus festivaliai""",2014-02-03,2019-02-03,,,Senamiesčio,Ugdymo veiklai,Panauda
416,Birutės g. 4,766.02,"2 aukštų pastatas, ūkio pastatas, katilinė, kiemo statiniai (tvora)",Vilniaus Birutės darželis,2013-09-01,2023-09-01,,,Žvėryno,Ugdymo veiklai,Panauda
417,Birželio 23-iosios g. 6,834.84,"2 aukštų pastatas, ūkio pastatas, 4 stoginės, 3 namukai, kiemo statiniai (kiemo aikštelė, tvora)","Lopšelis-darželis ""Kurpaitė""",2014-06-01,2024-06-01,,,Naujamiesčio,Ugdymo veiklai,Panauda
418,Bistryčios g. 3,2709.23,"2 aukštų pastatas, kiemo statiniai (kiemo aikštelė, tvora, baseinas)","lopšelis-darželis ""Pušaitė""",,,,,Antakalnio,Ugdymo veiklai,Panauda
419,Brolių g. 18,1891.4,"2 aukštų pastatas, kiemo statiniai","lopšelis-darželis ""Pabiručiai""",,,,,Naujininkų,Ugdymo veiklai,Panauda
420,Buivydiškių g. 10,513.47,2 aukštas,"Asociacija Vilniaus sportinių šokių klubas ""Ratuto""",2012-06-01,2017-06-01,,11874.42,Šeškinės,Ugdymo veiklai,Panauda
421,Čiobiškio g. 17,2484.4,2 aukštų pastatas,"lopšelis-darželis ""Papartis""",,,,,Šeškinės,Ugdymo veiklai,Panauda
422,Dariaus ir Girėno g. 16,828.36,2 aukštų pastatas,Broniaus Jonušo muzikos mokykla,,,,,Naujininkų,Ugdymo veiklai,Panauda
423,Darželio g. 7,1457.76,"2 aukštų pastatas, 7 stoginės, ūkio pastatas, kiemo statiniai (kiemo aikštelė)","lopšelis-darželis ""Paslaptis""",,,,,Naujosios Vilnios,Ugdymo veiklai,Panauda
424,Didlaukio g. 35,2471.23,2 aukštų pastatas,"lopšelis-darželis ""Gintarėlis""",2014-06-01,2024-06-01,,,Verkių,Ugdymo veiklai,Panauda
425,Didlaukio g. 66,2027.41,2 aukštų pastatas,"lopšelis-darželis ""Šermukšnėlė""",,,,,Verkių,Ugdymo veiklai,Panauda
426,Donelaičio g. 12,1232.84,"2 aukštų pastatas, 6 stoginės, 3 namukai, ūkio pastatas, kiemo statiniai (kiemo aikštelė, baseinas, tvora)","Vilniaus lopšelis-darželis ""Drevinukas""",2014-06-16,2024-06-01,,,Naujamiesčio,Ugdymo veiklai,Panauda
427,Dūkštų g. 14,2488.25,2-jų aukštų pastatas,"lopšelis-darželis ""Sveikuolis""",,,,,Šeškinės,Ugdymo veiklai,Panauda
428,Dzūkų g. 29,1162.28,"2 aukštų pastatas, 7 pavėsinės, kiemo statiniai","lopšelis-darželis ""Lašelis""",,,,,Naujininkų,Ugdymo veiklai,Panauda
429,Dzūkų g. 32,1664.88,"2 aukštų pastatas, 6 pavėsinės, kiemo statiniai (kiemo aikštelė, baseinas, 6 smėlio dėžės)","Vilniaus lopšelis-darželis ""Gervelė""",2014-06-01,2024-06-01,,,Naujininkų,Ugdymo veiklai,Panauda
430,Eduardo Andrė g. 6,649.32,2 aukštų pastatas,Vilniaus Trakų Vokės vaikų darželis,2013-09-01,2023-09-01,,,Panerių,Ugdymo veiklai,Panauda
431,Erfurto g. 21,2638,"du 2 aukštų pastatai, 7 stoginės, 4 namukai, kiemo statiniai","lopšelis-darželis ""Riešutėlis""",,,,,Lazdynų,Ugdymo veiklai,Panauda
432,Erfurto g. 42,1713.22,"du 1 aukšto pastatai, 2 aukštų pastatas, 12 pavėsinių, kiemo statiniai (kiemo aikštelė, tvora)","lopšelis-darželis ""Giraitė""",2014-06-01,2024-06-01,,,Lazdynų,Ugdymo veiklai,Panauda
433,Fabijoniškių g. 7,2220.36,2 aukštų pastatas,"lopšelis-darželis ""Gandriukas""",2014-06-01,2024-06-01,,,Fabijoniškių,Ugdymo veiklai,Panauda
434,Filaretų g. 19,1800.57,"2 aukštų pastatas, kiemo statiniai (kiemo aikštelė, tvora, 10 stoginių, (nuo 2I1/p iki 11I1/p))","lopšelis-darželis ""Užupiukas""",,,,,Senamiesčio,Ugdymo veiklai,Panauda
435,Gabijos g. 1,2186.3,2 aukštų pastatas,"lopšelis-darželis ""Gabijėlė""",2014-06-01,2024-06-01,,,Pašilaičių,Ugdymo veiklai,Panauda
436,Gabijos g. 21,2244.12,2 aukštų pastatas,"lopšelis-darželis ""Vėjelis""",,,,,Pašilaičių,Ugdymo veiklai,Panauda
437,Gedimino pr. 15A,559.77,3 aukštų pastatas,"""Ąžuoliuko"" muzikos mokykla",,,,,Naujamiesčio,Ugdymo veiklai,Panauda
438,Gedvydžių g. 25A,3419.79,2 aukštų pastatas,"Vilniaus lopšelis-darželis ""Karusėlė""",2013-03-01,2023-03-01,,,Fabijoniškių,Ugdymo veiklai,Panauda
439,Gelvonų g. 1,2471.7,du 2 aukštų pastatai,"lopšelis-darželis ""Gelvonėlis""",2014-06-01,2024-06-01,,,Šeškinės,Ugdymo veiklai,Panauda
440,Gelvonų g. 24,1730.59,du 2 aukštų pastatai,"lopšelis-darželis ""Ozas""",,,,,Šeškinės,Ugdymo veiklai,Panauda
441,Gerosios Vilties g. 15,1598.26,"du 2 aukštų pastatai, 12 stoginių, kiemo statiniai (tvora, smėlio dėžė - 5 vnt.)",Vilkpėdės darželis-mokykla,2014-04-07,2024-04-07,,,Vilkpėdės,Ugdymo veiklai,Panauda
442,Gerosios Vilties g. 7A,2080.46,"du 2 aukštų pastatai, 8 stoginės, 4 namukai, išvietė, kiemo statiniai","lopšelis-darželis ""Viltenė""",,,,,Vilkpėdės,Ugdymo veiklai,Panauda
443,Goštauto g. 4,329.13,patalpos,Vilniaus Neries vaikų darželis,2013-09-01,2023-09-01,,,Naujamiesčio,Ugdymo veiklai,Panauda
444,"Grigiškės, Kovo 11-osios g. 54",2285.54,2 aukštų pastatas,"lopšelis-darželis ""Lokiuko giraitė""",,,,,Grigiškių,Ugdymo veiklai,Panauda
445,"Grigiškės, Lentvario g. 1A",1834.7,"du 2 aukštų pastatai, 8 stoginės","Vilniaus savivaldybės Grigiškių darželis-mokykla ""Pelėdžiukas""",2014-04-07,2024-04-07,,,Panerių,Ugdymo veiklai,Panauda
446,Grigiškių m. Kovo 11-osios g. 28,101.87,1 aukštas,"VšĮ ""Grijos vaikai""",2014-04-01,2021-12-06,,6801.15,Grigiškių,Ugdymo veiklai,Panauda
447,Grybo g. 7,1931.96,visas pastatas,Vilniaus privati gimnazija (T. Liubertienės privati mokykla),2008-02-05,2018-02-05,,69550.56,Grigiškių,Ugdymo veiklai,Panauda
448,Jasinskio g. 17,327.78,patalpos,"lopšelis-darželis ""Salvija""",,,,,Naujamiesčio,Ugdymo veiklai,Panauda
449,Jovaro g. 6,809.31,"2 aukštų pastatas, 4 ūkio pastatai, 2 stoginės, 5 metaliniai namukai, kiemo statiniai",Montessori metodo centro darželis-mokykla,2008-04-02,2018-04-02,,29135.16,Naujamiesčio,Ugdymo veiklai,Panauda
450,Juodšilių g. 10,418.27,patalpos,Vilniaus Panerių vaikų darželis,2013-09-01,2023-09-01,,,Panerių,Ugdymo veiklai,Panauda
451,Jūratės g. 4A,1892.27,du 2 aukštų pastatai,"lopšelis-darželis ""Voveraitė""",,,,,Antakalnio,Ugdymo veiklai,Panauda
452,Justiniškių g. 45,2462.83,"2 aukštų pastatas, 3 stoginės, kiemo statiniai (aikštelė, baseinas)","lopšelis-darželis ""Zylutė""",,,,,Viršuliškių,Ugdymo veiklai,Panauda
453,Justiniškių g. 47,2503.15,"2 aukštų pastatas, kiemo statiniai (9 stoginės, kiemo aikštelė, baseinas, tvora, smėlio dėžės)","lopšelis-darželis ""Jurginėlis""",2014-06-01,2024-06-01,,,Viršuliškių,Ugdymo veiklai,Panauda
454,Justiniškių g. 62A,257.35,2 aukštas,Vilniaus Justiniškių vaikų ir jaunimo klubas,2008-08-13,2018-08-14,,,Justiniškių,Ugdymo veiklai,Panauda
455,Justiniškių g. 65,2989.97,"2-jų aukštų pastatas, 6 stoginės, kiemo statiniai","Vilniaus lopšelis-darželis ""Gluosnis""",2015-04-27,2025-04-27,,,Viršuliškių,Ugdymo veiklai,Panauda
456,Kalvarijų g. 156,517.96,"rūsys, 1 aukštas","Vilniaus vaikų ir jaunimo klubas ""Šatrija""",2013-03-10,2018-03-10,,,Šnipiškių,Ugdymo veiklai,Panauda
457,"Kalviškių, Salininkai g. 1",624,pastatas,Salininkų lopšelis-darželis,,,,,Naujininkų,Ugdymo veiklai,Panauda
458,Kapsų g. 7,1771.17,2 aukštų pastatas,"lopšelis-darželis ""Liepsnelė""",,,,,Naujininkų,Ugdymo veiklai,Panauda
459,Kaštonų g. 2-53,301.05,1 aukštas,"Vilniaus sporto mokykla ""Tauras""",2014-08-11,2024-08-10,,,Naujamiesčio,Ugdymo veiklai,Panauda
460,Kauno g. 43,1413.95,1-3 aukštai,Vilniaus miesto sporto centras,2015-01-01,2025-01-01,,,Naujamiesčio,Ugdymo veiklai,Panauda
461,Kavoliuko g. 12,2741.32,"2 aukštų pastatas, 12 pavėsinių, kiemo statiniai (tvora, kiemo aikštelė, baseinas, 12 smėlio dėžių)","lopšelis-darželis ""Raktelis""",,,,,Karoliniškių,Ugdymo veiklai,Panauda
462,Keramikų g. 34,1241.95,"2 aukštų pastatas, 7 pavėsinės, kiemo statiniai","lopšelis-darželis ""Molinukas""",,,,,Antakalnio,Ugdymo veiklai,Panauda
463,Klinikų g. 5,846.82,2 aukštų pastatas,"lopšelis-darželis ""Spindulėlis""",,,,,Antakalnio,Ugdymo veiklai,Panauda
464,Kolaso g. 15,2532.31,"2 aukštų pastatas, 11 pavėsinių, kiemo statiniai","lopšelis-darželis ""Žiogelis""",,,,,Naujosios Vilnios,Ugdymo veiklai,Panauda
465,Konarskio g. 37,3185.05,"2 aukštų pastatas, du ūkio pastatai, kiemo statiniai",J.Vienožinskio dailės mokykla,,,,,Naujamiesčio,Ugdymo veiklai,Panauda
466,Konduktorių g. 4,132.64,"rūsys, pusrūsis",Vilniaus Naujininkų vaikų ir jaunimo klubas,2014-03-10,2019-03-09,,,Naujininkų,Ugdymo veiklai,Panauda
467,Kosciuškos g. 13,5683.01,"4 aukštų pastatas, kiemo statiniai (kiemo aikštelė)",Balio Dvariono dešimtmetė muzikos mokykla,,,,,Senamiesčio,Ugdymo veiklai,Panauda
468,Kovo 11-osios g. 54,2305.27,"2 aukštų pastatas, 12 stoginių","Vilniaus savivaldybės Grigiškių lopšelis-darželis ""Lokiuko giraitė""",2014-06-01,2024-06-01,,,Grigiškių,Ugdymo veiklai,Panauda
469,Krokuvos g. 6A,1761.28,"2 aukštų pastatas, kiemo statiniai (tvora, kiemo aikštelė, stoginės)","lopšelis-darželis ""Pipiras""",,,,,Šnipiškių,Ugdymo veiklai,Panauda
470,Kupalos g. 8,384.77,du 1 aukšto pastatai,Vilniaus Naujosios Vilnios moksleivių kūrybos namai,,,,,Naujosios Vilnios,Ugdymo veiklai,Panauda
471,Laisvės pr. 57,2462.65,"patalpos 2 aukštų pastate, kiemo aikštelė, baseinas, tvora, 3 stoginės","lopšelis-darželis ""Aušrinė""",2014-06-01,2024-06-01,,,Šeškinės,Ugdymo veiklai,Panauda
472,Laisvės pr. 59,2466.24,2 aukštų pastatas,"lopšelis-darželis ""Kodėlčiukas""",2014-06-01,2024-06-01,,,Šeškinės,Ugdymo veiklai,Panauda
473,Lakštingalų g. 10,4816.24,"trys 2 aukštų pastata, kiemo statiniai","lopšelis-darželis ""Lakštingala""",,,,,Antakalnio,Ugdymo veiklai,Panauda
474,Latvių g. 40,1883.8,"2 aukštų pastatas, kiemo statiniai (11 stoginių, tvora, kiemo aikštelė, baseinas)","Vilniaus lopšelis-darželis ""Boružėlė""",2013-09-01-,2023-09-01,,,Žvėryno,Ugdymo veiklai,Panauda
475,Medeinos g. 5,2212,2 aukštų pastatas,"""Aušros"" mokykla-darželis",2014-04-07,2024-04-07,,,Pašilaičių,Ugdymo veiklai,Panauda
476,Mickevičiaus g. 21,632.05,2 aukštų pastatas,"lopšelis-darželis ""Linelis""",,,,,Žvėryno,Ugdymo veiklai,Panauda
477,Miglos g. 1,2234.25,2 aukštų pastatas,"Vilniaus darželis-mokykla ""Saulutė""",2014-04-07,2024-04-07,,,Žvėryno,Ugdymo veiklai,Panauda
478,Miglos g. 3,3311.56,"2 aukštų pastatas, kiemo statiniai (7 stoginės, tvora, baseinas, kiemo aikštelė)","lopšelis-darželis ""Eglutė""",2014-06-01,2024-06-01,,,Žvėryno,Ugdymo veiklai,Panauda
479,Miglos g. 53,1024.18,2 aukštų pastatas,"lopšelis-darželis ""Pušynėlis""",,,,,Žvėryno,Ugdymo veiklai,Panauda
480,Minties g. 56,222.53,1 aukštas,Vilniaus Žirmūnų vaikų ir jaunimo klubas,2013-08-17,2018-08-17,,,Žirmūnų,Ugdymo veiklai,Panauda
